Video_ID,Title,Uploader,Duration_Sec,Views,Tags,Lyrics,Emotion_Label
DP3mvyRCYO4,PHƯƠNG MỸ CHI – MÙA THU CHO EM (Official Music Video) | CHI?,Phương Mỹ Chi,235,287104,"mùa thu cho em, mua thu cho em, phương mỹ chi, phuong my chi, phương mỹ chi mùa thu cho em, phuong my chi mua thu cho em, mùa thu cho em phương mỹ chi, mua thu cho em phuong my chi, ca sỹ phương mỹ chi, ca sy phuong my chi, mv mùa thu cho em, mv mua thu cho em, kênh phương mỹ chi, kenh phuong my chi, mùa thu cho em CHI, CHI",Không có lời bài hát (Sub),
C3MjMvDN9LE,Giữ Giùm Em Trái Tim - Lyna Thùy Linh (MV Official),Zing MP3,250,286830,"lyna thùy linh, giữ giùm em trái tim, mv official, 2015, zing mp3, zingmp3",Không có lời bài hát (Sub),
ejVtmMilM8I,HOW TO LOVE YOU - CHỊ ĐẸP TUIMI (Tiết Mục Solo) | CHỊ ĐẸP ĐẠP GIÓ 2024,YEAH1 MUSIC,183,286344,"yeah1, yeah1 music, chị đẹp đạp gió rẽ sóng, chị đẹp đạp gió rẽ sóng mùa 2, chị đẹp đạp gió 2024, chị đẹp, đạp gió 2024, chị đẹp đạp gió, show chị đẹp đạp gió, show chị đẹp, chị đẹp đạp gió tập 1, tiết mục chị đẹp tập 1, tuimi, chị đẹp tuimi, tuimi king of rap, chị đẹp tuimi live, how to love you, how to love you tuimi, tuimi how to love you, how to lovư you tuimi live, tiết mục chị đẹp tuimi, tiết mục của tuimi, tuimi chị đẹp, tuimi live how to love you, chi dep tuimi",Không có lời bài hát (Sub),
3KE_If0e3-Q,NHẮM MẮT GỌI TÊN | THANH HÀ ft. VŨ THẢO MY || DUET VIBE,Thanh Ha's Closet,359,285583,"thanh hà, nhạc trẻ, song ca, chị đẹp thanh hà, phuong uyên, em yêu anh, vũ thảo my, nhắm mắt gọi tên",Không có lời bài hát (Sub),
5dxcP_zGpcQ,Anh Bây Giờ Nhạt Quá | Hồ Ngọc Hà x Dickson Nguyễn | Love Songs Studio Session,Ho Ngoc Ha's Official Channel,319,285130,"ho ngoc ha, hồ ngọc hà, ca si ho ngoc ha, ca sĩ hồ ngọc hà, mv ho ngoc ha, mv hồ ngọc hà, love songs, love songs collection 4, cang truong thanh cang co don, love songs ho ngoc ha, studio session, anh bay gio nhat qua studio session, anh bay gio nhat qua lyrics, anh bây giờ nhạt quá, anh bay gio nhat qua, dickson nguyễn, anh bây giờ nhạt quá hồ ngọc hà, anh bay gio nhat qua ho ngoc ha, anh bây giờ nhạt quá karaoke, anh bay gio nhat qua karaoke","♪ Vì sao anh? ♪ | ♪ Muốn ra đi ♪ | ♪ Giấc mơ cùng nhau, | bây giờ lại thế sao? ♪ | ♪ Vì sao anh? ♪ | ♪ Không buồn bã ♪ | ♪ Khi thấy em đớn đau, | than khóc đến khờ dại ♪ | ♪ Và em cứ thế ♪ | ♪ Trói buộc con tim anh ♪ | ♪ Và anh cứ thế ♪ | ♪ Muốn tình yêu qua nhanh ♪ | ♪ Anh gạt đi những mộng mơ ♪ | ♪ Đến với thế giới ♪ | ♪ Của ánh đèn ♪ | ♪ Đầy lừa dối ♪ | ♪ Biết nợ duyên ngày xưa ♪ | ♪ Còn thương, anh còn ngóng chờ ♪ | ♪ Biết những ngọt ngào từ đâu ♪ | ♪ Vì đâu chẳng còn sắc màu ♪ | ♪ Anh bây giờ nhạt quá ♪ | ♪ Anh đâu thấu | những cảm giác em tận sâu ♪ | ♪ Những hẹn ước cùng nhau ♪ | ♪ Dừng chân nơi miền đất lành ♪ | ♪ Ấm áp chuyện trò say sưa ♪ | ♪ Bên nhau trong từng nốt nhạc ♪ | ♪ Sao bây giờ xa quá? ♪ | ♪ Muốn níu lấy, | dẫu trái tim anh nhạt nhòa ♪ | ♪ Một mình em ♪ | ♪ Mắt lệ nhòe ♪ | ♪ Phía con đường kia, | sao là hình bóng anh? ♪ | ♪ Một mình em ♪ | ♪ Đêm buồn bã ♪ | ♪ Chẳng thể như hôm qua, | ai bước đi vội vàng? ♪ | ♪ Và em cứ thế ♪ | ♪ Trói buộc con tim anh ♪ | ♪ Và anh cứ thế ♪ | ♪ Muốn tình yêu qua nhanh ♪ | ♪ Anh gạt đi những mộng mơ ♪ | ♪ Đến với thế giới ♪ | ♪ Của ánh đèn ♪ | ♪ Đầy lừa dối ♪ | ♪ Biết nợ duyên ngày xưa ♪ | ♪ Còn thương, anh còn ngóng chờ ♪ | ♪ Biết những ngọt ngào từ đâu ♪ | ♪ Vì đâu chẳng còn sắc màu ♪ | ♪ Anh bây giờ nhạt quá ♪ | ♪ Anh đâu thấu | những cảm giác em tận sâu ♪ | ♪ Những hẹn ước cùng nhau ♪ | ♪ Dừng chân nơi miền đất lành ♪ | ♪ Ấm áp chuyện trò say sưa ♪ | ♪ Bên nhau trong từng nốt nhạc ♪ | ♪ Sao bây giờ xa quá? ♪ | ♪ Muốn níu lấy, | dẫu trái tim anh nhạt nhòa ♪ | ♪ Biết nợ duyên ngày xưa ♪ | ♪ Còn thương, anh còn ngóng chờ ♪ | ♪ Biết những ngọt ngào từ đâu ♪ | ♪ Vì đâu chẳng còn sắc màu ♪ | ♪ Anh bây giờ nhạt quá ♪ | ♪ Anh đâu thấu | những cảm giác em tận sâu ♪ | ♪ Những hẹn ước cùng nhau ♪ | ♪ Dừng chân nơi miền đất lành ♪ | ♪ Ấm áp chuyện trò say sưa ♪ | ♪ Bên nhau trong từng nốt nhạc ♪ | ♪ Sao bây giờ xa quá? ♪ | ♪ Muốn níu lấy, | dẫu trái tim anh nhạt nhòa ♪ | ♪ Sao bây giờ xa quá? ♪ | ♪ Muốn níu lấy, | dẫu trái tim anh nhạt nhòa ♪",
El5SM_iTefs,Mùa Xuân Trên Thành Phố Hồ Chí Minh | Trường Kha,POPS MUSIC,307,284106,"ca sy truong kha, ca sỹ trường kha, mua xuan tren thanh pho ho chi minh, mua xuan tren thanh pho ho chi minh truong kha, mv mua xuan tren thanh pho ho chi minh, mv mùa xuân trên thành phố hồ chí minh, mùa xuân trên thành phố, mùa xuân trên thành phố hồ chí minh",Không có lời bài hát (Sub),
qCTQUGM-SlQ,NOBODY - VŨ CÁT TƯỜNG (TRACK 4 - ALBUM STARDOM) | OFFICIAL LYRICS VIDEO,Vũ Cát Tường (VCT),326,283553,"Nobody Vũ Cát Tường, Nobody, Vũ, Cát, Tường, Vũ Cát Tường Nobody, nobody vu cat tuong, vu cat tuong nobody, nobody lyrics, nobody lyrics video, nobody official, track 4 album stardom, album stardom, track 4, nobody vct, Vũ Cát Tường, Vu Cat Tuong, VuCatTuong, VCT, Vũ Cát Tường Channel, Vũ Cát Tường Official, Vũ Cát Tường Official Channel, Vu Cat Tuong Channel, Vu Cat Tuong Official, Vu Cat Tuong Official Channel, Mèo, meo, stardom, lyrics, Nobody - Vũ Cát Tường Official",Không có lời bài hát (Sub),
WYH4ETH7Etg,Bài Thánh Ca Buồn (Lyrics Videos) | Giang Hồng Ngọc,Giang Hồng Ngọc,322,282678,"bài thánh ca buồn, dem dong, giang hồng ngọc, giang hong ngoc, giang hồng ngọc bài thánh ca buồn, giang hong ngoc dem dong, bài thánh ca buồn giang hồng ngọc, dem dong giang hong ngoc, ca sỹ giang hồng ngọc, ca sy giang hong ngoc, mv bài thánh ca buồn, mv dem dong, kênh giang hồng ngọc, kenh giang hong ngoc",Không có lời bài hát (Sub),
ik_dUIR9uHE,"[2013] Lịch Sử Rác Việt – Acy (Dizz Phong Lê, Andree, Wowy, Karik,...)",Sư Tử RV,180,282620,"lich su rac viet, lich su rac viet acy, lich su rap viet, lich su rap viet acy, acy, acy dizz phong le, acy dizz andree, acy dizz karik",Không có lời bài hát (Sub),
zjp9NOAfkFY,THƯƠNG NHAU LÝ TƠ HỒNG - QUANG LINH & CẨM LY | Sáng tác: Trương Quang Tuấn (Phát hành 2001),CẨM LY OFFICIAL,240,282263,"cẩm ly, Cam Ly, Minh Vy Cam Ly, CL, Cẩm Ly 2019, cam ly moi nhat, Camly, CẩmLy2020, Cẩm Ly xưa và nay, ca sĩ cẩm ly, cẩm ly dân ca, cẩm ly trữ tình, cẩm ly mới nhất, cam ly hay nhất, nhạc trẻ 8x 9x, nhac tre 8x 9x, nhạc hot, nhạc hit, nhac cam ly hay nhat, nhạc trữ tình, nhac tru tinh, nhac bolero, nhac dan ca, Thuong nhau ly to hong, Quang linh, Cam ly quang linh, Tu mien nao anh nguoc ra bac, Từ miền nam anh ngược ra bắc mang theo câu hò, Hot trend, Tiktok, Trend tiktok",Không có lời bài hát (Sub),
