Video_ID,Raw_Title,Clean_Title,Uploader
jVXysfw75Gg,Wxrdie - BĂNG QUA CẦU GIẤY (ft. ‪JasonDilla) [prod. by ‪Phongkhin],Băng Qua Cầu Giấy,Wxrdie
aJCniGObA4c,Pháp Kiều - 3 BÍCH ft. tlinh (prod.by KADO) | OFFICIAL MUSIC VIDEO,3 BÍCH,Pháp Kiều
774rPmeCdmA,"Có Người Bảo Tôi - Quỳnh Trang, Ngọc Phụng | Hát Trên Quê Hương 8",Có Người Bảo Tôi,Quang Lê Official
IkSUYwMobk4,HẸN BÉ LẦN SAU - Mason Nguyễn cùng Tiêu Minh Phụng level up | Rap Việt 2024 [Performance],HẸN BÉ LẦN SAU,Vie Channel - MUSIC
ppOmjlAL1iY,Về Quê - Anh Thơ [Audio],Về Quê,Anh Thơ Official
s5GFw-7XPjo,"SOOBIN - Em Ơi, Anh Nhớ Nhà (Đi Để Trở Về 9) | Official MV","Em Ơi, Anh Nhớ Nhà",SOOBIN Official
ZEdCtkdvxhk,KARIK X YUNO BIGBOI | BUỒN THÌ VUI LÊN (FT. HOÀNG DUYÊN) | OFFICIAL MUSIC VIDEO,Buồn Thì Vui Lên,KARIK
PUofnMN4v0k,Orange - 'Đừng Kết Thúc Hôm Nay' Official MV (Prod. by Madihu),Đừng Kết Thúc Hôm Nay,Orange Singer Official
-dsIiSaPZZA,Anh Chưa Từng Hết Yêu / buitruonglinh,Anh Chưa Từng Hết Yêu,buitruonglinh
NS-iWkxIbWI,Wxrdie - NHẠC TRAP CĂNG NHẤT 2023 (ft. JasonDilla & Right) [prod. JasonDilla],,Wxrdie
BprLp4yQkpE,Cõi Nhớ - Lưu Chí Vỹ ft Dương Hồng Loan [Official],Cõi Nhớ,POPS MUSIC
CGQIA-DzRpI,"Quang Lê, Mai Thiên Vân - Đường Tím Bằng Lăng | HTQH 8 @MaiThienVanOfficial",Đường Tím Bằng Lăng,Quang Lê Official
IuDcU0e8m_0,7UPPERCUTS × CAM -【WAVE ALPHA】 OFFICIAL MUSIC VIDEO,WAVE ALPHA,7UPPERCUTS
ChskXiy-7XM,PBN 61 | Phi Nhung - Trở Lại Bạc Liêu,Trở Lại Bạc Liêu,Thuy Nga
2WpHVRaOsVM,ĐÔNG NHI - CHO EM MỘT LẦN YÊU | OFFICIAL MUSIC VIDEO,Cho Em Một Lần Yêu,ĐÔNG NHI
xWRaWcQzK04,Tàu Anh Qua Núi - Anh Thơ | Khán Giả Vỗ Tay Không Ngớt,Tàu Anh Qua Núi,Anh Thơ Official
eqHzPdf_mrU,chờ mãi cũng đến … Cuối Tuần - Nguyên Hà & Minh Min |  Official MV,Chờ Mãi Cũng Đến … Cuối Tuần,Nguyên Hà Official
X2LbISnSPAw,Không Khuất Phục (OST Xóm Chùa )  - ATO x Việt Hương | Official Music Video,Không Khuất Phục,Việt Hương
8jU___yGRCI,MÙA XA NHAU - EMILY ( Audio ),Mùa Xa Nhau,1989s Entertainment
ZeuyOyCdsGI,Phi Nhung - Áo Mới Cà Mau | Ca Khúc Gắn Liền Với Tuối Thơ Của Bao Nhiêu Thế Hệ,Áo Mới Cà Mau,HOA DƯƠNG TV
Mz-BziBI1qY,KayC - LOVE IN THE AIR (feat. MCK & Machiot) [OFFICIAL VISUALIZER],LOVE IN THE AIR,KayC Official
YX1en4yR0JI,Lý Tuấn Kiệt x Linh Rin - Ngày Anh Hạnh Phúc Nhất | Nhạc Cưới 2025 🎵 Mình Bên Nhau Bạc Mái Đầu …,Ngày Anh Hạnh Phúc Nhất,Lý Tuấn Kiệt
Br4xUFy9OGc,Kẻ Cô Đơn Trong Thành Phố. - Khải x Xén / OFFICIAL,Kẻ Cô Đơn Trong Thành Phố,Chang
tWRDlcqSDhs,Thao Thức Vì Em - Dương Hồng Loan & Lưu Chí Vỹ | Nhạc Lòng Muôn Thuở,Thao Thức Vì Em,NHẠC TẾT 2026
dOZ1gK5YFBI,ĐÃ ĐẾN LÚC | Soobin Hoàng Sơn x Slim V [Official MV],ĐÃ ĐẾN LÚC,SOOBIN Official
aUVAZmYeWpg,MIN - TÌM (LOST) Acoustic Ver. M/V,TÌM,ST.319 Entertainment
PvM77Yd2OKQ,Khóc Thầm - Như Hoa | MV 4K OFFICIAL Bolero Music,Khóc Thầm,BOLERO MUSIC
ugNvbNNAYnc,Thiên Lý Ơi - Jack - J97 x Quanvrox「Lofi Ver.」/ Official Lyrics Video,Thiên Lý Ơi,Quanvrox Music
_Y4sZ3117O0,Trọn Đời Yêu Em - Lê Sang | MV Ngoại Cảnh Quay Tại Đan Mạch (Official MV),Trọn Đời Yêu Em,Ca Sĩ Lê Sang
Mz0xpt4dDRg,"EM THUA CÔ TA - MIN QUỲNH ANH | MV OFFICIAL | CÔ ẤY TỐT HƠN EM À , CÔ TA CŨNG THƯƠNG ANH À",EM THUA CÔ TA,DIHOA MEDIA
RXFCsjz-294,"Phi Nhung & Đặng Hà Duy - Vì Lỡ Thương Nhau (Trần Kim Phú, Hoàng Mộng Ngân) PBN 121",Vì Lỡ Thương Nhau,Thuy Nga
g1-PViQDRUU,Cơn Đau Cuối Cùng - Lê Hiếu「Official Lyric Video」,Cơn Đau Cuối Cùng,Lê Hiếu
rjkfdiShK-k,VĂN MAI HƯƠNG - CƠN MƯA RÀO ft. NEGAV (prod. by HỨA KIM TUYỀN) | Album 'Minh Tinh',CƠN MƯA RÀO,VĂN MAI HƯƠNG OFFICIAL
FTVznktQr7Q,Wxrdie - LONELY STONIE [prod. by Dustin Ngo],LONELY STONIE,Wxrdie
_w2PR0Sko8g,Xin Đừng Lặng Im,Xin Đừng Lặng Im,SOOBIN Official
b3Y9taDpQz8,VƯỢT QUA EVEREST I ISAAC x PHƯƠNG NHI I Official Music Video,Vượt Qua Everest,Isaac Official
0zdaS6qvmWY,Anh Sai Rồi,Anh Sai Rồi,Sơn Tùng M-TP Official
Ne7V1r_AJR0,Gửi Em Ở Cuối Sông Hồng - Anh Thơ ft Việt Hoàn,Gửi Em Ở Cuối Sông Hồng,Anh Thơ Official
J4hohATfzc8,Bức Thư Để Lại - Hồ Ngọc Hà & R.Tee (Official Music Video),Bức Thư Để Lại,Ho Ngoc Ha's Official Channel
v9XkENdZi1o,Hỏa Ca (Call Me By Fire) | MV Bài hát Chủ đề “Anh Trai Vượt Ngàn Chông Gai 2024”,Hỏa Ca,YEAH1 MUSIC
FCJ3m089p9Q,Đìu Anh Luôn Giữ Kín Trong Tym - RPT MCK ft tlinh & 2pillz | Official Music Video,Đìu Anh Luôn Giữ Kín Trong Tym,MCK // Nger
4SFEYNJyYaE,Phương Mỹ Chi x DTAP - Gối Gấm (em với rối rắm) | Official Music Video,Gối Gấm,Phương Mỹ Chi
O7rXUCqkqQA,[MV] Người Nào Đó - JustaTee - (Studio Session),Người Nào Đó,JustaTeeMusic
zAuMr0rfi7o,MONSTAR - BADADU | Official Music Video,BADADU,ST.319 Entertainment
K8wtSelj6WQ,NẾU TA KHÔNG MAY | Anh Tú ft LyLy | Official MV,Nếu Ta Không May,Anh Tú Official
0eZaulMNBQc,NGÀY KHÔNG EM - CẨM LY & QUỐC ĐẠI | Sáng tác: Minh Vy (Phát hành 2008),NGÀY KHÔNG EM,CẨM LY OFFICIAL
mS7gPMK_6mA,Thương Em Đến Già (Lofi Ver.) - Lê Bảo Bình x meChill x CaoTri/ Anh Thấy Lòng Thật Bình Yên,Thương Em Đến Già,Bình Lê
k7RctQ96v4I,Họ Đâu Thương Em - Phan Duy Anh (Solo Version) | Đừng Khóc Em Ơi Đừng Buồn...,Họ Đâu Thương Em,Phan Duy Anh
HFQrc7WuGTk,MIN - Có Em Là Nhà (Official Audio),Có Em Là Nhà,MIN OFFICIAL
DMw515Rm9IY,Tình Vội Chia Ly | Dương Hồng Loan & Duy Trường | MV Độc Quyền,Tình Vội Chia Ly,Dương Hồng Loan Official {Kim Minh}
6EKHvHdyZHA,MIỀN CÁT TRẮNG - QUANH VINH (LÀN SÓNG XANH 2004),Miền Cát Trắng,Phuong Nam Phim
SfMpcSTdLIU,"Lành Tính Sợ Gì Tình Lánh - Suni Hạ Linh x Dear, Klairs (ft. ScripB) I Official Music Video",Lành Tính Sợ Gì Tình Lánh,POPS MUSIC
A5f0LBEmhVk,WREN EVANS - Cầu Vĩnh Tuy | LOI CHOI The First Album (ft. itsnk),Cầu Vĩnh Tuy,Wren Evans Official
WqYjmjtXMwQ,LIL Z POET - TÌNH MÌNH LẠ KÌ,Tình Mình Lạ Kì,Lil Z Poet
47y-1bDRWH8,"Wxrdie - LÂU ĐÀI (ft. Flava Sati) [prod. by Trungng, LostInSpace, Jiang]",Lâu Đài,Wxrdie
7w9AGOTWfWM,Hạnh Phúc Mới | Phạm Quỳnh Anh | Fan Meeting,Hạnh Phúc Mới,Phạm Quỳnh Anh Official
OJinpRayPY8,"XHTDRLX2 | Lớn Rồi Còn Khóc Nhè - Trúc Nhân, Anh Tú, Hứa Kim Tuyền kết hợp tại Làng Chài Cha-Cha-Cha",Lớn Rồi Còn Khóc Nhè,FOREST STUDIO
gqUl23bevCo,Tình Sầu - Hà Vân (Nhạc Phim Hai Người Vợ) [Official],Tình Sầu,POPS MUSIC
EDqCqD2O1Bs,N0L4B3L,N0L4B3L,MCK // Nger
626agNJydo4,Kha - đoạn đường sao băng (Official Lyrics Video),Đoạn Đường Sao Băng,Kha
hlGSgR8sljw,THẬT BẤT NGỜ -Trúc Nhân - (audio official),THẬT BẤT NGỜ,Trúc Nhân
M2OVfsgMY38,Noo Phước Thịnh | Như Phút Ban Đầu | Lyrics Video,Như Phút Ban Đầu,Noo Phước Thịnh
pQdeyUCiDo4,Đò Sang Ngang | Võ Hoàng Lâm,Đò Sang Ngang,POPS MUSIC
7iiPGUDHC0Q,Cause I Love You - Noo Phước Thịnh「Official Lyrics Video」,Cause I Love You,Mưa.
m6i4uRiLEKU,"'MẶT TRỜI TRONG BÓNG TỐI' (Theme Song ""ĐỊA ĐẠO"") - NSƯT Cao Minh, Lamoon, Saigon Choir | Lyric Video",Mặt Trời Trong Bóng Tối,Hứa Kim Tuyền
ngMqJfnRc30,FSR GET IT - BlackBi x  BRed x  Pjpo x YoungH x LJ x Torai9 | 2014 | Diss GVR | Video Lyrics,FSR GET IT,Sư Tử RV
jyTq5-aNgDs,PHÚC DU - Đừng Gọi Anh Dậy (Official M/V),Đừng Gọi Anh Dậy,PHÚC DU
hZYLUcqBUVM,Tội Lỗi - Hồ Ngọc Hà (Special Version),Tội Lỗi,Ho Ngoc Ha's Official Channel
XHZ3kKlpCWw,7UPPERCUTS  - YÊU (OFFICIAL MUSIC VIDEO),Yêu,CROW ON HYENAS
-kjRf27e02k,Rừng Lá Thấp - Trường Vũ (Tác giả: Trần Thiện Thanh) | Nhạc Vàng Xưa Bất Hủ,Rừng Lá Thấp,Giang Tử
x6N7XJO29Bc,NARAKA: BLADEPOINT x @Masewprod x @Nganbctm - BÀI HÁT CHỦ ĐỀ 'Glory Is Yours' | Official MV,Glory Is Yours,NARAKA: Bladepoint Việt Nam
3BaOW8I-_3M,PBN 49 | Phi Nhung - Lý Con Sáo Bạc Liêu,Lý Con Sáo Bạc Liêu,Thuy Nga
7OYnkD6rctg,"MIN - (TỪNG LÀ) BOYFRIEND, GIRLFRIEND | OFFICIAL MUSIC VIDEO","TỪNG LÀ BOYFRIEND, GIRLFRIEND",MIN OFFICIAL
YIhAtJd_5Kw,Siêu Cô Đơn - Yan Nguyễn  ( OFFICIAL Lyric Video ),Siêu Cô Đơn,BD Music
dNNpfmUpxck,Mưa Tháng Sáu - Văn Mai Hương | Official MV | Mây Saigon,Mưa Tháng Sáu,Mây Saigon Official 
Mxg2Ii-ndEw,NƠI VỰC NƠI TRỜI DEEP HOUSE | LÊ BẢO BÌNH | OFFICIAL MUSIC VIDEO,NƠI VỰC NƠI TRỜI,Lê Bảo Bình
jEKTZQHuI1Y,MỘNG YU - AMEE ft. MCK | lyric video (from ‘MỘNGMEE’ album),MỘNG YU,ST.319 Entertainment
Q74zn7zvNww,KIẾM ĐÂU BÂY GIỜ - Nguyễn Hùng (OST CỤC VÀNG CỦA NGOẠI) | OFFICIAL MUSIC VIDEO,Kiếm Đâu Bây Giờ,YEAH1 MUSIC
5cexpAYNMNo,NGÂN | Low G x tlinh | OFFICIAL AUDIO,NGÂN,Nhà Hóa Học Đống Đa
Ha6Sq74Hh-A,ĐÀO LIỄU - NHÀ TRẺ x NSND THU HUYỀN | CÔNG DIỄN 4 - ANH TRAI VƯỢT NGÀN CHÔNG GAI 2024,,YEAH1 MUSIC
DAiwsCnsm6M,Hẹn em mai sau gặp lại - Emcee L ft. Lamoon (Official MV),Hẹn em mai sau gặp lại,Da LAB Official
PnPLICCZfUA,Get Down - Isaac | Official MV 4K | Isaac Official (Nhạc trẻ sôi động hay mới nhất),Get Down,Isaac Official
wUJZYZlehfE,Hương vị tình thân NHẠC PHIM,Hương vị tình thân,Đạo diễn Nguyễn Anh Dũng
Hl2fJrjspCU,ERIK - 'TÔI LÀ AI TRONG EM (ĐỒI THÔNG)' (from 'Taxi! Em Tên Gì' OST) (Official Audio),TÔI LÀ AI TRONG EM,ST.319 Entertainment
YJ4B6ERCeWc,"XHTDRLX2 | Có Hẹn Với Thanh Xuân - Nhóm Xuân Hạ Thu Đông, Đức Phúc, LyLy",Có Hẹn Với Thanh Xuân,FOREST STUDIO
x5w-XaZSjKo,Ngày Không Em - Lê Sang & Dương Hồng Loan | Tuyệt Phẩm Bolero Mới Nhất 2022,Ngày Không Em,Hoàng Tử Dân Ca Lê Sang
ltauJTZ6gLE,Tàn Tro - Lân Nhã Ft. Tuấn Kha 「 Official Music Video」,Tàn Tro,Lân Nhã Official
NOFxeenUPco,Đêm Vũ Trường - Quốc Khanh & Hoàng Thục Linh [OFFICIAL MV],Đêm Vũ Trường,MMG Studios
SlLno-qpOWE,Giấu Anh Vào Nỗi Nhớ - Hồ Ngọc Hà (Official Music Video),Giấu Anh Vào Nỗi Nhớ,Ho Ngoc Ha's Official Channel
7ZK6b8fSw-w,Dòng Thời Gian - Nguyễn Hải Phong | [Video Lyrics],Dòng Thời Gian,NHP Entertainment
LqHd_oFJJvA,CÂY ĐÈN THẦN | HỒ NGỌC HÀ | OFFICIAL MUSIC VIDEO,Cây Đèn Thần,Ho Ngoc Ha's Official Channel
c51mP1MS7Hc,Lil Liem ft. BIG WIND - em đi đi | Official MV,em đi đi,Lil Liem
SU8hfCyFgJY,[Official MV] Đưa Mày Lên - Young H x Minh Lai,Đưa Mày Lên,EvB Records
4m9f3rwG_Zc,Yêu Nhưng Phải Dừng Lại - Lương Minh Trang (Official MV),Yêu Nhưng Phải Dừng Lại,Zing MP3
zhTpdCUMPpc,"KHIẾN NÓ NGẦU - BINZ, HÀ LÊ, RHYMASTIC, ĐINH TIẾN ĐẠT | TIẾT MỤC NHÓM ANH TRAI VƯỢT NGÀN CHÔNG GAI",Khiến Nó Ngầu,YEAH1 MUSIC
7qXZz1oZ0_Q,SÁNG MẮT CHƯA CÔ VY? (MV) | MEW AMAZING x TRÚC NHÂN x CHI PU x CHÂU BÙI,SÁNG MẮT CHƯA CÔ VY?,Trúc Nhân
Xh9r0oqvjQw,Le Géant De Papier || Lạc Mất Mùa Xuân - THÙY DUNG,Lạc Mất Mùa Xuân,Thùy Dung Official 
9jOY6V7tP_o,EM VỀ TINH KHÔI (ALBUM 25th LSX) AMEE x HOÀNG DŨNG x GREYD | MV OFFICAL,EM VỀ TINH KHÔI,Làn Sóng Xanh
MVOGsUCLP78,Ting Ting Là Tết Về - GDucky | Official MV | Nhạc Tết 2022,Ting Ting Là Tết Về,POPS MUSIC
mLqL35YdcqE,Những Lời Hứa Bỏ Quên - Vũ. x Dear Jane (Lyric Video),Những Lời Hứa Bỏ Quên,Warner Music Vietnam
0pTUaPbMBrY,♬ Nắng Dưới Chân Mây - Nguyễn Hữu Kha x CaoTri | Lofi Lyrics | Tình Yêu Anh Như Nắng Đợi,Nắng Dưới Chân Mây,CaoTri Official 
VtFmR18Vn5M,tlinh - những đốm sáng | OFFICIAL VISUALIZER,những đốm sáng,tlinh
KqcN6C8tpnA,Hoàng Thuỳ Linh - Hạ Phỏm | Official Music Video,Hạ Phỏm,Hoàng Thùy Linh
bySiboHg4xI,PHÙ ĐỔNG THIÊN VƯƠNG - ĐỨC PHÚC | 🇻🇳 VIỆT NAM | WINNER OF THE INTERVISION 2025,PHÙ ĐỔNG THIÊN VƯƠNG,ĐỨC PHÚC OFFICIAL
LtdM7A0KzUI,Vũ Cát Tường ft. Hoàng Phong - Buổi Sáng Bình Thường,Buổi Sáng Bình Thường,Vũ Cát Tường (VCT)
_SMxEK65HAQ,Hà Nhi - Không Bằng | Khi người buông tay nhưng em vẫn còn yêu…,Không Bằng,Hà Nhi Official
pVPiMC6VNQ8,TAY-LAI PRO melody quá khủng của JustaTee cùng quán quân Rap Việt Double2T,,VieNews
zg-RS9i9WaU,Cá Hồi Hoang - Hiệu Ứng Trốn Chạy,Hiệu Ứng Trốn Chạy,Cá Hồi Hoang
icOb16NSCcc,Quang Lê - Đôi Mắt Người Xưa (Official Music Video),Đôi Mắt Người Xưa,Thuy Nga
6zw3yCCrFyM,ERIK x FREAKY x BENNY - 'Yêu Bền Bỉ' | Official MV,Yêu Bền Bỉ,ERIK Official
